timestamp,time,id,channel,temperature,humidity,strike_count,storm_dist,active,rfi,ussb1,battery,exception,raw_msg,Console (Miles)
1536263938215,2018-09-06 19:58:58,228,C,80.6,65,9,8,1,0,0,OK,0,00e46f41d282098879,
1536263945581,2018-09-06 19:59:05,14052,B,79.9,62,15,10,1,0,0,OK,0,b6e46fbed17b0f0a2c,
1536263946146,2018-09-06 19:59:06,228,C,80.6,65,9,8,1,0,0,OK,0,00e46f41d282098879,
1536263953457,2018-09-06 19:59:13,14052,B,78.4,63,15,10,1,1,0,OK,0,b6e46f3fd16c0faa3e,
1536263961343,2018-09-06 19:59:21,14052,B,78.4,63,15,10,1,0,0,OK,0,b6e46f3fd16c0f0a9e,
1536263962341,2018-09-06 19:59:22,228,C,80.2,65,9,8,1,0,1,OK,0,00e46f41d17e094834,
1536263969696,2018-09-06 19:59:29,14052,B,78.4,63,15,10,1,0,0,OK,0,b6e46f3fd16c0f0a9e,
1536263970196,2018-09-06 19:59:30,228,C,80.2,65,9,8,1,0,1,OK,0,00e46f41d17e094834,
1536263977564,2018-09-06 19:59:37,14052,B,78.2,63,15,10,1,0,0,OK,0,b6e46f3fd16a0f0a9c,
1536263978101,2018-09-06 19:59:38,228,C,80.2,65,9,8,1,0,1,OK,0,00e46f41d17e094834,
1536263985429,2018-09-06 19:59:45,14052,B,78.2,63,15,10,1,0,0,OK,0,b6e46f3fd16a0f0a9c,
1536263986475,2018-09-06 19:59:46,228,C,80.2,65,9,8,1,1,1,OK,0,00e46f41d17e09e8d4,
1536263993291,2018-09-06 19:59:53,14052,B,78.2,63,15,10,1,0,1,OK,0,b6e46f3fd16a0fca5c,
1536264001676,2018-09-06 20:00:01,14052,B,77.9,63,15,10,1,0,1,OK,0,b6e46f3fd1e70fcad9,
1536264002176,2018-09-06 20:00:02,228,C,80,65,9,8,1,0,1,OK,0,00e46f41d1fc0948b2,
1536264009541,2018-09-06 20:00:09,14052,B,77.9,63,15,10,1,0,1,OK,0,b6e46f3fd1e70fcad9,
1536264010044,2018-09-06 20:00:10,228,C,80,65,9,8,1,1,1,OK,0,00e46f41d1fc09e852,
1536264018459,2018-09-06 20:00:18,228,C,80,65,9,8,1,0,1,OK,0,00e46f41d1fc0948b2,
1536264025271,2018-09-06 20:00:25,14052,B,77.7,63,15,10,1,0,1,OK,0,b6e46f3fd1650fca57,
1536264026320,2018-09-06 20:00:26,228,C,79.7,66,9,8,1,0,1,OK,0,00e46f42d1f90948b0,
1536264033657,2018-09-06 20:00:33,14052,B,77.7,63,15,10,1,0,1,OK,0,b6e46f3fd1650fca57,
1536264041504,2018-09-06 20:00:41,14052,B,77.7,63,15,10,1,0,1,OK,0,b6e46f3fd1650fca57,
1536264058291,2018-09-06 20:00:58,228,C,79.7,66,9,8,1,0,1,OK,0,00e46f42d1f90948b0,
1536264066144,2018-09-06 20:01:06,228,C,79.7,66,9,8,1,1,1,OK,0,00e46f42d1f909e850,
1536264074551,2018-09-06 20:01:14,228,C,79.5,67,9,8,1,0,1,OK,0,00e46fc3d1770948af,
1536264081373,2018-09-06 20:01:21,14052,B,77.3,64,15,10,1,0,1,OK,0,b6e46fc0d1e10fca54,
1536264089240,2018-09-06 20:01:29,14052,B,77.3,64,15,10,1,1,1,OK,0,b6e46fc0d1e10f6af4,
1536264090287,2018-09-06 20:01:30,228,C,79.5,67,9,8,1,1,1,OK,0,00e46fc3d17709e84f,
1536264097605,2018-09-06 20:01:37,14052,B,77,65,16,10,1,1,0,OK,0,b6e46f41d1de90aa33,
1536264098131,2018-09-06 20:01:38,228,C,79.5,67,10,8,1,0,0,OK,0,00e46fc3d1770a88f0,
1536264113846,2018-09-06 20:01:53,14052,B,77,65,16,10,1,0,0,OK,0,b6e46f41d1de900a93,7
1536264121188,2018-09-06 20:02:01,14052,B,76.8,65,16,10,1,0,0,OK,0,b6e46f41d15c900a11,
1536264122269,2018-09-06 20:02:02,228,C,79.1,69,10,8,1,0,0,OK,0,00e46fc5d1f30a886e,
1536264129602,2018-09-06 20:02:09,14052,B,76.8,65,16,10,1,0,0,OK,0,b6e46f41d15c900a11,
1536264138487,2018-09-06 20:02:18,228,C,79.1,69,10,8,1,0,0,OK,0,00e46fc5d1f30a886e,
1536264145329,2018-09-06 20:02:25,14052,B,76.6,66,16,10,1,1,0,OK,0,b6e46f42d15a90aab0,
1536264146387,2018-09-06 20:02:26,228,C,78.6,69,10,8,1,1,0,OK,0,00e46fc5d1ee0a2809,
1536264161558,2018-09-06 20:02:41,14052,B,76.6,66,16,10,1,0,0,OK,0,b6e46f42d15a900a10,
1536264162085,2018-09-06 20:02:42,228,C,78.6,69,10,8,1,0,0,OK,0,00e46fc5d1ee0a8869,
1536264169425,2018-09-06 20:02:49,14052,B,76.6,66,16,10,1,0,0,OK,0,b6e46f42d15a900a10,
1536264177291,2018-09-06 20:02:57,14052,B,76.6,66,16,10,1,0,0,OK,0,b6e46f42d15a900a10,
1536264185705,2018-09-06 20:03:05,14052,B,76.6,66,16,10,1,0,0,OK,0,b6e46f42d15a900a10,
1536264193570,2018-09-06 20:03:13,14052,B,76.4,66,16,10,1,0,0,OK,0,b6e46f42d1d8900a8e,
1536264202450,2018-09-06 20:03:22,228,C,78.6,70,10,8,1,0,0,OK,0,00e46fc6d1ee0a886a,
1536264209267,2018-09-06 20:03:29,14052,B,76.4,66,16,10,1,0,0,OK,0,b6e46f42d1d8900a8e,
1536264210325,2018-09-06 20:03:30,228,C,78.6,70,10,8,1,0,0,OK,0,00e46fc6d1ee0a886a,
1536264217686,2018-09-06 20:03:37,14052,B,76.1,66,16,10,1,0,0,OK,0,b6e46f42d155900a0b,
1536264218187,2018-09-06 20:03:38,228,C,78.4,70,10,8,1,0,0,OK,0,00e46fc6d16c0a88e8,
1536264225517,2018-09-06 20:03:45,14052,B,76.1,66,16,10,1,0,0,OK,0,b6e46f42d155900a0b,
1536264226053,2018-09-06 20:03:46,228,C,78.4,70,10,8,1,1,0,OK,0,00e46fc6d16c0a2888,
1536264241256,2018-09-06 20:04:01,14052,B,76.1,66,16,10,1,1,0,OK,0,b6e46f42d15590aaab,
1536264242309,2018-09-06 20:04:02,228,C,78.4,70,10,8,1,1,0,OK,0,00e46fc6d16c0a2888,
1536264249667,2018-09-06 20:04:09,14052,B,76.1,66,16,10,1,0,0,OK,0,b6e46f42d155900a0b,
1536264250219,2018-09-06 20:04:10,228,C,78.4,70,10,8,1,0,0,OK,0,00e46fc6d16c0a88e8,
1536264257506,2018-09-06 20:04:17,14052,B,76.1,66,16,10,1,0,0,OK,0,b6e46f42d155900a0b,
1536264258030,2018-09-06 20:04:18,228,C,78.4,70,10,8,1,0,0,OK,0,00e46fc6d16c0a88e8,
1536264265386,2018-09-06 20:04:25,14052,B,75.9,66,16,10,1,0,0,OK,0,b6e46f42d153900a09,
1536264266445,2018-09-06 20:04:26,228,C,78.2,70,10,8,1,0,0,OK,0,00e46fc6d16a0a88e6,
1536264273232,2018-09-06 20:04:33,14052,B,75.9,66,16,10,1,0,0,OK,0,b6e46f42d153900a09,
1536264274282,2018-09-06 20:04:34,228,C,78.2,70,10,8,1,0,0,OK,0,00e46fc6d16a0a88e6,
1536264290556,2018-09-06 20:04:50,228,C,78.2,70,10,8,1,0,0,OK,0,00e46fc6d16a0a88e6,
1536264297382,2018-09-06 20:04:57,14052,B,75.5,66,16,10,1,0,0,OK,0,b6e46f42d1cf900a85,
1536264298436,2018-09-06 20:04:58,228,C,78.2,70,11,8,1,0,0,OK,0,00e46fc6d16a8b8867,
1536264305291,2018-09-06 20:05:05,14052,B,75.5,66,16,10,1,0,1,OK,0,b6e46f42d1cf90ca45,
1536264306327,2018-09-06 20:05:06,228,C,78.2,70,11,8,1,0,1,OK,0,00e46fc6d16a8b4827,
1536264313601,2018-09-06 20:05:13,14052,B,75.4,68,16,10,1,0,1,OK,0,b6e46f44d14e90cac6,
1536264314170,2018-09-06 20:05:14,228,C,77.9,70,11,8,1,0,1,OK,0,00e46fc6d1e78b48a4,
1536264321486,2018-09-06 20:05:21,14052,B,75.4,68,16,10,1,0,1,OK,0,b6e46f44d14e90cac6,
1536264322512,2018-09-06 20:05:22,228,C,77.9,70,11,8,1,0,1,OK,0,00e46fc6d1e78b48a4,
1536264330375,2018-09-06 20:05:30,228,C,77.9,70,11,8,1,0,1,OK,0,00e46fc6d1e78b48a4,
1536264337233,2018-09-06 20:05:37,14052,B,75.2,69,16,10,1,1,1,OK,0,b6e46fc5d1cc906a65,
1536264345612,2018-09-06 20:05:45,14052,B,75.2,69,16,10,1,0,1,OK,0,b6e46fc5d1cc90cac5,
1536264346224,2018-09-06 20:05:46,228,C,77.9,70,11,8,1,1,1,OK,0,00e46fc6d1e78be844,
1536264353478,2018-09-06 20:05:53,14052,B,75.2,69,16,10,1,0,1,OK,0,b6e46fc5d1cc90cac5,
1536264369732,2018-09-06 20:06:09,14052,B,75,69,16,10,1,0,1,OK,0,b6e46fc5d1ca90cac3,
1536264370227,2018-09-06 20:06:10,228,C,77.7,70,11,8,1,0,1,OK,0,00e46fc6d1658b4822,
1536264377567,2018-09-06 20:06:17,14052,B,75,69,16,10,1,0,1,OK,0,b6e46fc5d1ca90cac3,
1536264378404,2018-09-06 20:06:18,228,C,77.7,70,11,8,1,1,1,OK,0,00e46fc6d1658be8c2,
1536264386505,2018-09-06 20:06:26,228,C,77.7,70,11,8,1,0,1,OK,0,00e46fc6d1658b4822,
1536264393293,2018-09-06 20:06:33,14052,B,74.6,68,16,10,1,0,1,OK,0,b6e46f44d1c690ca3e,
1536264394461,2018-09-06 20:06:34,228,C,77.7,70,11,8,1,0,1,OK,0,00e46fc6d1658b4822,
1536264401707,2018-09-06 20:06:41,14052,B,74.6,68,16,10,1,0,1,OK,0,b6e46f44d1c690ca3e,
1536264402208,2018-09-06 20:06:42,228,C,77.7,70,11,8,1,0,1,OK,0,00e46fc6d1658b4822,
1536264409579,2018-09-06 20:06:49,14052,B,74.6,68,16,10,1,0,1,OK,0,b6e46f44d1c690ca3e,
1536264417440,2018-09-06 20:06:57,14052,B,74.6,68,16,10,1,0,1,OK,0,b6e46f44d1c690ca3e,
1536264425366,2018-09-06 20:07:05,14052,B,74.6,68,16,10,1,0,1,OK,0,b6e46f44d1c690ca3e,
1536264442065,2018-09-06 20:07:22,228,C,77.3,71,12,8,1,0,0,OK,0,00e46f47d1e10c88e0,
1536264449387,2018-09-06 20:07:29,14052,B,74.6,68,16,10,1,0,1,OK,0,b6e46f44d1c690ca3e,
1536264457803,2018-09-06 20:07:37,14052,B,74.3,68,16,10,1,0,1,OK,0,b6e46f44d1c390ca3b,
1536264458338,2018-09-06 20:07:38,228,C,77.3,71,12,8,1,0,0,OK,0,00e46f47d1e10c88e0,
